<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20191209,010000,63.7640000,63.8214000,63.7325000,63.7850000,35
USDRUB,60,20191209,020000,63.7824000,63.8393000,63.6267000,63.7140000,759
USDRUB,60,20191209,030000,63.7265000,63.7358000,63.6360000,63.7000000,786
USDRUB,60,20191209,040000,63.7000000,63.7275000,63.6140000,63.7000000,593
USDRUB,60,20191209,050000,63.7064000,63.7067000,63.5880000,63.6452000,2063
USDRUB,60,20191209,060000,63.6833000,63.6833000,63.6122000,63.6509000,235
USDRUB,60,20191209,070000,63.6742000,63.6810000,63.6339000,63.6540000,150
USDRUB,60,20191209,080000,63.6742000,63.7010000,63.6260000,63.6525000,1231
USDRUB,60,20191209,090000,63.6500000,63.6772000,63.5841000,63.6300000,1645
USDRUB,60,20191209,100000,63.6304000,63.6970000,63.5822000,63.6722000,2100
USDRUB,60,20191209,110000,63.6747000,63.7370000,63.6025000,63.7204000,30601
USDRUB,60,20191209,120000,63.6978000,63.7766000,63.6653000,63.7512000,28314
USDRUB,60,20191209,130000,63.7700000,63.8050000,63.6924000,63.7777000,36902
USDRUB,60,20191209,140000,63.7750000,63.7843000,63.6533000,63.6899000,25972
USDRUB,60,20191209,150000,63.7090000,63.7411000,63.6402000,63.7158000,25143
USDRUB,60,20191209,160000,63.7067000,63.7420000,63.6494000,63.7208000,25311
USDRUB,60,20191209,170000,63.6734000,63.7352000,63.6519000,63.7090000,28348
USDRUB,60,20191209,180000,63.7303000,63.7328000,63.5902000,63.6420000,42522
USDRUB,60,20191209,190000,63.5934000,63.7020000,63.5815000,63.6674000,37212
USDRUB,60,20191209,200000,63.6187000,63.6860000,63.5704000,63.6497000,36789
USDRUB,60,20191209,210000,63.6497000,63.6510000,63.4850000,63.5979000,22221
USDRUB,60,20191209,220000,63.6163000,63.6336000,63.5497000,63.6169000,12061
USDRUB,60,20191209,230000,63.6169000,63.6212000,63.5490000,63.6060000,10780
USDRUB,60,20191210,000000,63.6060000,63.6094000,63.5070000,63.5757000,8752
USDRUB,60,20191210,010000,63.5714000,63.5794000,63.4560000,63.5260000,1686
USDRUB,60,20191210,020000,63.5435000,63.5609000,63.4925000,63.5025000,721
USDRUB,60,20191210,030000,63.5661000,63.5765000,63.4800000,63.5000000,1103
USDRUB,60,20191210,040000,63.5000000,63.5910000,63.4425000,63.5630000,1313
USDRUB,60,20191210,050000,63.5736000,63.5850000,63.5190000,63.5516000,546
USDRUB,60,20191210,060000,63.5533000,63.5790000,63.5000000,63.5260000,299
USDRUB,60,20191210,070000,63.5531000,63.5780000,63.5000000,63.5583000,274
USDRUB,60,20191210,080000,63.5547000,63.5619000,63.4975000,63.5100000,588
USDRUB,60,20191210,090000,63.5100000,63.5980000,63.4960000,63.5502000,1390
USDRUB,60,20191210,100000,63.5623000,63.6100000,63.5190000,63.5830000,1867
USDRUB,60,20191210,110000,63.5830000,63.6168000,63.4926000,63.5750000,27880
USDRUB,60,20191210,120000,63.5280000,63.6243000,63.5050000,63.5545000,37221
USDRUB,60,20191210,130000,63.5545000,63.6225000,63.5252000,63.5890000,33305
USDRUB,60,20191210,140000,63.6005000,63.6614000,63.5370000,63.6330000,32954
USDRUB,60,20191210,150000,63.6330000,63.6510000,63.5301000,63.5817000,33890
USDRUB,60,20191210,160000,63.5817000,63.6300000,63.5165000,63.6269000,31904
USDRUB,60,20191210,170000,63.6269000,63.6300000,63.4251000,63.5301000,50037
USDRUB,60,20191210,180000,63.4811000,63.5985000,63.4661000,63.5730000,48545
USDRUB,60,20191210,190000,63.5675000,63.5748000,63.4410000,63.5404000,37312
USDRUB,60,20191210,200000,63.5410000,63.5697000,63.4567000,63.5295000,29764
USDRUB,60,20191210,210000,63.5295000,63.5564000,63.4782000,63.5446000,15031
USDRUB,60,20191210,220000,63.5440000,63.5484000,63.4689000,63.5328000,11714
USDRUB,60,20191210,230000,63.5314000,63.5369000,63.4060000,63.4627000,20278
